file,name,status,mitre_attack_id,class,search_fragment_basis,reason
detections/endpoint/sunburst_correlation_dll_and_network_event.yml,Sunburst Correlation DLL and Network Event,experimental,T1203,incident-bound,"ImageLoaded=*SolarWinds.Orion.Core.BusinessLayer.dll ... QueryName=*avsvmcloud.com","Both hardcoded strings are attacker-chosen artifacts of the SUNBURST campaign specifically: the trojanized DLL name and the one C2 domain that campaign registered. A different vendor's update mechanism trojanized by a different actor produces neither string. Also mistagged: carries T1203 (Exploitation for Client Execution), not any T1195 sub-technique, despite being the canonical supply chain detection in this repo."
detections/endpoint/shai_hulud_workflow_file_creation_or_modification.yml,Shai-Hulud Workflow File Creation or Modification,production,"T1574.006, T1554, T1195",incident-bound,"Filesystem.file_path IN (*/.github/workflows/discussion.yaml, .../shai-hulud-workflow.yml, .../formatter_*.yml, ...)","Matches on the literal workflow file names this specific worm creates (shai-hulud-workflow.yml, discussion.yaml, formatter_*.yml). A different npm worm that names its malicious workflow file anything else does not match."
detections/endpoint/shai_hulud_2_exfiltration_artifact_files.yml,Shai-Hulud 2 Exfiltration Artifact Files,production,"T1074.001, T1552.001, T1195.002",incident-bound,"Filesystem.file_name IN (cloud.json, contents.json, environment.json, truffleSecrets.json, actionsSecrets.json)","Matches on the exact staging filenames this malware's authors chose. A different npm-worm exfiltration step using different filenames does not match."
detections/endpoint/github_workflow_file_creation_or_modification.yml,GitHub Workflow File Creation or Modification,production,"T1574.006, T1554, T1195",behavioral,"Filesystem.file_path IN (*/.github/workflows/*.yaml, */.github/workflows/*.yml)","Matches on ANY workflow file creation/modification under .github/workflows, a structural location GitHub itself defines for CI/CD, not a name the Shai-Hulud authors chose. Fires on any future attacker who drops a workflow file there, named anything."
detections/endpoint/python_network_traffic_during_package_build.yml,Python Network Traffic During Package Build,production,"T1195.002, T1059.006",behavioral,"process=*build_wheel* ... EventID=3 ... process_name=python.exe","Matches the generic behavioral pattern of a Python process opening a network connection during the build_wheel phase of package installation. No package name, domain, or file name from any specific incident appears in the search."
detections/endpoint/python_pth_file_creation_during_package_installation.yml,Python PTH File Creation During Package Installation,production,"T1546, T1195.002",behavioral,"file_name=*.pth ... action=created ... process=* install *","Matches on the generic .pth file extension and install-time process pattern. The description names the litellm/TeamPCP incident as the motivating example, but no litellm-specific string appears in the search logic itself."
detections/endpoint/python_pythonpath_modification_during_package_installation.yml,Python PYTHONPATH Modification During Package Installation,production,"T1574.007, T1195.002",behavioral,"registry_path=*PYTHONPATH ... parent_process=*\\site-packages\\pip\\*","Matches on the PYTHONPATH environment variable and pip's install-time parent process path, both generic to the Python packaging mechanism, not to one incident's indicators."
detections/endpoint/python_site_hooks_creation_during_package_installation.yml,Python Site Hooks Creation During Package Installation,production,"T1546, T1195.002",behavioral,"file_path IN (*sitecustomize.py, *usercustomize.py) ... action=created","Matches on the two file names Python's own site module looks for (a language mechanism, not an attacker-chosen name), during install. The description cites VIPERTUNNEL as a real-world example, but the search has no VIPERTUNNEL-specific string."
detections/endpoint/hunting_3cxdesktopapp_software.yml,Hunting 3CXDesktopApp Software,production,T1195.002,incident-bound,"Processes.process_name=3CXDesktopApp.exe OR Processes.process_name=3CX Desktop App","Matches on the literal product name of the one vulnerable application (3CXDesktopApp.exe). A different trojanized desktop application ships under a different binary name and this search will not fire on it. The known_false_positives field itself acknowledges the detection is really an asset inventory hunt for this one product, not a behavioral pattern."
detections/endpoint/windows_vulnerable_3cx_software.yml,Windows Vulnerable 3CX Software,production,T1195.002,incident-bound,"process_name=3CXDesktopApp.exe ... FileVersion=18.12.*","Matches on the exact product binary name and the exact vulnerable version range (18.12.407 / 18.12.416) of one application. Cannot generalize to any other vendor's trojanized update."
detections/network/3cx_supply_chain_attack_network_indicators.yml,3CX Supply Chain Attack Network Indicators,production,T1195.002,incident-bound,"lookup 3cx_ioc_domains domain as query OUTPUT Description isIOC | search isIOC=true","The entire detection logic is a lookup against a curated domain IOC list built specifically for the 3CX campaign. Swapping in a different campaign's C2 domains would require rebuilding the lookup table; the search itself carries no technique-level logic."
detections/cloud/github_enterprise_delete_branch_ruleset.yml,GitHub Enterprise Delete Branch Ruleset,production,T1195,behavioral,"action=repository_ruleset.destroy","Matches GitHub's own audit-log action name for deleting a branch protection ruleset, a platform administrative action any attacker (in any future supply chain compromise via a compromised maintainer or CI credential) would have to invoke through the same API call to remove that protection. No incident-specific string."
detections/cloud/github_enterprise_disable_2fa_requirement.yml,GitHub Enterprise Disable 2FA Requirement,production,T1195,behavioral,"action=org.disable_two_factor_requirement OR action=business.disable_two_factor_requirement","Platform audit-log action name for disabling org-wide 2FA enforcement. Generic to any attacker who takes this step to weaken account security ahead of or during a supply chain compromise."
detections/cloud/github_enterprise_disable_audit_log_event_stream.yml,GitHub Enterprise Disable Audit Log Event Stream,production,T1195,behavioral,"action=audit_log_streaming.destroy","Platform audit-log action name for turning off log export. Generic anti-forensics step usable by any attacker, not tied to one incident's IOCs."
detections/cloud/github_enterprise_disable_classic_branch_protection_rule.yml,GitHub Enterprise Disable Classic Branch Protection Rule,production,T1195,behavioral,"action=protected_branch.destroy","Platform audit-log action for removing branch protection. Generic administrative action, not an incident-specific indicator."
detections/cloud/github_enterprise_disable_dependabot.yml,GitHub Enterprise Disable Dependabot,production,T1195,behavioral,"action=repository_vulnerability_alerts.disable","Platform audit-log action for disabling Dependabot alerts. Any attacker suppressing dependency-vulnerability alerts in any future incident invokes this same API action."
detections/cloud/github_enterprise_disable_ip_allow_list.yml,GitHub Enterprise Disable IP Allow List,production,T1195,behavioral,"action=ip_allow_list.disable","Platform audit-log action for disabling the IP allowlist. Generic access-control-weakening step, not tied to a specific campaign's indicators."
detections/cloud/github_enterprise_modify_audit_log_event_stream.yml,GitHub Enterprise Modify Audit Log Event Stream,production,T1195,behavioral,"action=audit_log_streaming.update","Platform audit-log action for changing (not necessarily disabling) the log stream config. Generic, applies to any attacker touching this setting."
detections/cloud/github_enterprise_pause_audit_log_event_stream.yml,GitHub Enterprise Pause Audit Log Event Stream,production,T1195,behavioral,"action=audit_log_streaming.update reason=User initiated pause","Same platform action as the modify detection, filtered to the pause reason code GitHub itself assigns. Still platform vocabulary, not an attacker-chosen string."
